Sample in Buffer,Sample in Window,TRIGGER,voltmeter2_inst/adc_data[7:0],voltmeter2_inst/sin_wave[13:0],voltmeter2_inst/vrms[12:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,UNSIGNED
0,0,0,108,-742,703
1,1,0,108,-742,703
2,2,0,108,-742,703
3,3,0,108,-742,703
4,4,0,108,-742,703
5,5,0,108,-742,703
6,6,0,108,-742,703
7,7,0,108,-742,703
8,8,0,108,-742,703
9,9,0,108,-742,703
10,10,0,108,-742,703
11,11,0,108,-742,703
12,12,0,108,-742,703
13,13,0,108,-742,703
14,14,0,108,-742,703
15,15,0,108,-742,703
16,16,0,108,-742,703
17,17,0,108,-742,703
18,18,0,108,-742,703
19,19,0,108,-742,703
20,20,0,108,-742,703
21,21,0,108,-742,703
22,22,0,108,-742,703
23,23,0,108,-742,703
24,24,0,108,-742,703
25,25,0,108,-742,703
26,26,0,108,-742,703
27,27,0,108,-742,703
28,28,0,108,-742,703
29,29,0,108,-742,703
30,30,0,108,-742,703
31,31,0,108,-742,703
32,32,0,108,-742,703
33,33,0,108,-742,703
34,34,0,108,-742,703
35,35,0,108,-742,703
36,36,0,108,-742,703
37,37,0,108,-742,703
38,38,0,108,-742,703
39,39,0,108,-742,703
40,40,0,108,-742,703
41,41,0,108,-742,703
42,42,0,108,-742,703
43,43,0,108,-742,703
44,44,0,108,-742,703
45,45,0,108,-742,703
46,46,0,108,-742,703
47,47,0,108,-742,703
48,48,0,108,-742,703
49,49,0,108,-742,703
50,50,0,108,-742,703
51,51,0,108,-742,703
52,52,0,108,-742,703
53,53,0,108,-742,703
54,54,0,108,-742,703
55,55,0,108,-742,703
56,56,0,108,-742,703
57,57,0,109,-742,703
58,58,0,108,-742,703
59,59,0,108,-703,703
60,60,0,108,-742,703
61,61,0,109,-742,703
62,62,0,108,-742,703
63,63,0,109,-703,703
64,64,0,108,-742,703
65,65,0,109,-703,703
66,66,0,109,-742,703
67,67,0,109,-703,703
68,68,0,108,-703,703
69,69,0,109,-703,703
70,70,0,108,-742,703
71,71,0,109,-703,703
72,72,0,109,-742,703
73,73,0,109,-703,703
74,74,0,108,-703,703
75,75,0,109,-703,703
76,76,0,109,-742,703
77,77,0,109,-703,703
78,78,0,109,-703,703
79,79,0,109,-703,703
80,80,0,109,-703,703
81,81,0,109,-703,703
82,82,0,109,-703,703
83,83,0,109,-703,703
84,84,0,109,-703,703
85,85,0,109,-703,703
86,86,0,109,-703,703
87,87,0,109,-703,703
88,88,0,109,-703,703
89,89,0,109,-703,703
90,90,0,109,-703,703
91,91,0,109,-703,703
92,92,0,109,-703,703
93,93,0,109,-703,703
94,94,0,109,-703,703
95,95,0,109,-703,703
96,96,0,109,-703,703
97,97,0,109,-703,703
98,98,0,109,-703,703
99,99,0,109,-703,703
100,100,0,109,-703,703
101,101,0,109,-703,703
102,102,0,109,-703,703
103,103,0,109,-703,703
104,104,0,109,-703,703
105,105,0,109,-703,703
106,106,0,109,-703,703
107,107,0,109,-703,703
108,108,0,109,-703,703
109,109,0,109,-703,703
110,110,0,109,-703,703
111,111,0,109,-703,703
112,112,0,109,-703,703
113,113,0,109,-703,703
114,114,0,109,-703,703
115,115,0,109,-703,703
116,116,0,109,-703,703
117,117,0,109,-703,703
118,118,0,109,-703,703
119,119,0,109,-703,703
120,120,0,109,-703,703
121,121,0,109,-703,703
122,122,0,110,-703,703
123,123,0,109,-703,703
124,124,0,109,-664,703
125,125,0,109,-703,703
126,126,0,109,-703,703
127,127,0,109,-703,703
128,128,0,109,-703,703
129,129,0,109,-703,703
130,130,0,110,-703,703
131,131,0,109,-703,703
132,132,0,110,-664,703
133,133,0,109,-703,703
134,134,0,109,-664,703
135,135,0,109,-703,703
136,136,0,110,-703,703
137,137,0,109,-703,703
138,138,0,109,-664,703
139,139,0,109,-703,703
140,140,0,110,-703,703
141,141,0,109,-703,703
142,142,0,110,-664,703
143,143,0,109,-703,703
144,144,0,110,-664,703
145,145,0,109,-703,703
146,146,0,110,-664,703
147,147,0,109,-703,703
148,148,0,110,-664,703
149,149,0,109,-703,703
150,150,0,110,-664,703
151,151,0,110,-703,703
152,152,0,110,-664,703
153,153,0,110,-664,703
154,154,0,110,-664,703
155,155,0,109,-664,703
156,156,0,110,-664,703
157,157,0,109,-703,703
158,158,0,110,-664,703
159,159,0,110,-703,703
160,160,0,110,-664,703
161,161,0,110,-664,703
162,162,0,110,-664,703
163,163,0,110,-664,703
164,164,0,110,-664,703
165,165,0,110,-664,703
166,166,0,110,-664,703
167,167,0,110,-664,703
168,168,0,110,-664,703
169,169,0,110,-664,703
170,170,0,110,-664,703
171,171,0,110,-664,703
172,172,0,110,-664,703
173,173,0,110,-664,703
174,174,0,110,-664,703
175,175,0,110,-664,703
176,176,0,110,-664,703
177,177,0,110,-664,703
178,178,0,110,-664,703
179,179,0,110,-664,703
180,180,0,110,-664,703
181,181,0,110,-664,703
182,182,0,110,-664,703
183,183,0,110,-664,703
184,184,0,110,-664,703
185,185,0,110,-664,703
186,186,0,110,-664,703
187,187,0,110,-664,703
188,188,0,111,-664,703
189,189,0,110,-664,703
190,190,0,111,-625,703
191,191,0,110,-664,703
192,192,0,111,-625,703
193,193,0,110,-664,703
194,194,0,110,-625,703
195,195,0,110,-664,703
196,196,0,111,-664,703
197,197,0,110,-664,703
198,198,0,111,-625,703
199,199,0,110,-664,703
200,200,0,111,-625,703
201,201,0,110,-664,703
202,202,0,111,-625,703
203,203,0,110,-664,703
204,204,0,111,-625,703
205,205,0,110,-664,703
206,206,0,111,-625,703
207,207,0,110,-664,703
208,208,0,111,-625,703
209,209,0,110,-664,703
210,210,0,111,-625,703
211,211,0,110,-664,703
212,212,0,111,-625,703
213,213,0,110,-664,703
214,214,0,111,-625,703
215,215,0,110,-664,703
216,216,0,111,-625,703
217,217,0,110,-664,703
218,218,0,111,-625,703
219,219,0,110,-664,703
220,220,0,111,-625,703
221,221,0,111,-664,703
222,222,0,111,-625,703
223,223,0,110,-625,703
224,224,0,111,-625,703
225,225,0,111,-664,703
226,226,0,111,-625,703
227,227,0,111,-625,703
228,228,0,111,-625,703
229,229,0,111,-625,703
230,230,0,111,-625,703
231,231,0,111,-625,703
232,232,0,111,-625,703
233,233,0,111,-625,703
234,234,0,111,-625,703
235,235,0,111,-625,703
236,236,0,111,-625,703
237,237,0,111,-625,703
238,238,0,111,-625,703
239,239,0,111,-625,703
240,240,0,111,-625,703
241,241,0,111,-625,703
242,242,0,111,-625,703
243,243,0,111,-625,703
244,244,0,111,-625,703
245,245,0,111,-625,703
246,246,0,111,-625,703
247,247,0,111,-625,703
248,248,0,111,-625,703
249,249,0,111,-625,703
250,250,0,111,-625,703
251,251,0,111,-625,703
252,252,0,111,-625,703
253,253,0,111,-625,703
254,254,0,111,-625,703
255,255,0,111,-625,703
256,256,0,111,-625,703
257,257,0,111,-625,703
258,258,0,96,-625,703
259,259,0,111,-625,703
260,260,0,96,-1210,703
261,261,0,111,-625,703
262,262,0,111,-1210,703
263,263,0,111,-625,703
264,264,0,111,-625,703
265,265,0,111,-625,703
266,266,0,96,-625,703
267,267,0,111,-625,703
268,268,0,96,-1210,703
269,269,0,111,-625,703
270,270,0,96,-1210,703
271,271,0,96,-625,703
272,272,0,96,-1210,703
273,273,0,111,-1210,703
274,274,0,111,-1210,703
275,275,0,96,-625,703
276,276,0,96,-625,703
277,277,0,111,-1210,703
278,278,0,96,-1210,703
279,279,0,111,-625,703
280,280,0,96,-1210,703
281,281,0,96,-625,703
282,282,0,96,-1210,703
283,283,0,96,-1210,703
284,284,0,111,-1210,703
285,285,0,111,-1210,703
286,286,0,96,-625,703
287,287,0,111,-625,703
288,288,0,96,-1210,703
289,289,0,96,-625,703
290,290,0,96,-1210,703
291,291,0,96,-1210,703
292,292,0,96,-1210,703
293,293,0,96,-1210,703
294,294,0,96,-1210,703
295,295,0,96,-1210,703
296,296,0,96,-1210,703
297,297,0,111,-1210,703
298,298,0,96,-1210,703
299,299,0,96,-625,703
300,300,0,96,-1210,703
301,301,0,96,-1210,703
302,302,0,96,-1210,703
303,303,0,96,-1210,703
304,304,0,96,-1210,703
305,305,0,96,-1210,703
306,306,0,96,-1210,703
307,307,0,96,-1210,703
308,308,0,96,-1210,703
309,309,0,96,-1210,703
310,310,0,96,-1210,703
311,311,0,96,-1210,703
312,312,0,96,-1210,703
313,313,0,96,-1210,703
314,314,0,96,-1210,703
315,315,0,111,-1210,703
316,316,0,111,-1210,703
317,317,0,111,-625,703
318,318,0,111,-625,703
319,319,0,111,-625,703
320,320,0,111,-625,703
321,321,0,111,-625,703
322,322,0,111,-625,703
323,323,0,111,-625,703
324,324,0,111,-625,703
325,325,0,110,-625,703
326,326,0,111,-625,703
327,327,0,110,-664,703
328,328,0,111,-625,703
329,329,0,110,-664,703
330,330,0,111,-625,703
331,331,0,110,-664,703
332,332,0,110,-625,703
333,333,0,110,-664,703
334,334,0,110,-664,703
335,335,0,109,-664,703
336,336,0,110,-664,703
337,337,0,110,-703,703
338,338,0,110,-664,703
339,339,0,109,-664,703
340,340,0,110,-664,703
341,341,0,109,-703,703
342,342,0,109,-664,703
343,343,0,109,-703,703
344,344,0,109,-703,703
345,345,0,109,-703,703
346,346,0,110,-703,703
347,347,0,109,-703,703
348,348,0,109,-664,703
349,349,0,109,-703,703
350,350,0,109,-703,703
351,351,0,109,-703,703
352,352,0,109,-703,703
353,353,0,109,-703,703
354,354,0,109,-703,703
355,355,0,109,-703,703
356,356,0,109,-703,703
357,357,0,109,-703,703
358,358,0,109,-703,703
359,359,0,109,-703,703
360,360,0,109,-703,703
361,361,0,109,-703,703
362,362,0,109,-703,703
363,363,0,109,-703,703
364,364,0,108,-703,703
365,365,0,109,-703,703
366,366,0,108,-742,703
367,367,0,109,-703,703
368,368,0,108,-742,703
369,369,0,109,-703,703
370,370,0,108,-742,703
371,371,0,108,-703,703
372,372,0,108,-742,703
373,373,0,108,-742,703
374,374,0,108,-742,703
375,375,0,108,-742,703
376,376,0,108,-742,703
377,377,0,108,-742,703
378,378,0,108,-742,703
379,379,0,108,-742,703
380,380,0,108,-742,703
381,381,0,108,-742,703
382,382,0,108,-742,703
383,383,0,108,-742,703
384,384,0,108,-742,703
385,385,0,108,-742,703
386,386,0,108,-742,703
387,387,0,108,-742,703
388,388,0,108,-742,703
389,389,0,108,-742,703
390,390,0,108,-742,703
391,391,0,108,-742,703
392,392,0,108,-742,703
393,393,0,108,-742,703
394,394,0,108,-742,703
395,395,0,108,-742,703
396,396,0,108,-742,703
397,397,0,108,-742,703
398,398,0,108,-742,703
399,399,0,108,-742,703
